Period,Period_begin,Period_end
 Vikingatid,793,1066
" Vikingatid, före år 1000",793,999
 Vikingatid: V ,793,1066
" Vikingatida|V, 1000-talet (sekel)|1000-talet ",1000,1066
 Vikingatida|V ,793,1066
Vikingatid    ,793,1066
 1000-talet e.Kr. ,793,1066
 V b 1100-t,793,1099
 Vikingatida:V ,793,1066
,0,1500
 Vikingatid ,793,1066
 Vikingatid|V,793,1066
  ,0,1500
 Vikingatiden,793,1066
,0,1500
,0,1500
 Vikingatid: V  ,793,1066
 Medeltid,1066,1500
 1000-talet  ,1000,1099
 Vikingatida ,793,1066
Vikingatiden  ,793,1066
,0,1500
Vikingatid: V,793,1066
"Vikingatida|V, 1000-talet (sekel)|1000-talet",1000,1066
Vikingatida|V,793,1066
Vikingatid,793,1066
1000-talet e.Kr.,1000,1099
V b 1100-t,793,1099
Vikingatida:V,793,1066
 ,0,1500
Vikingatid|V,793,1066
"Vikingatid, före år 1000",793,999
Vikingatiden,793,1066
Medeltid,1067,1500
1000-talet,1000,1099
Vikingatida,793,1066
Vikingatida|V 1000-talet,1000,1066
"Vikingatida|V, 1060-1100 e Kr<ref name=lansmuseum/>",1060,1100
Vikingatid|sent 1000-tal (Pr4),1080,1099
V,793,1066
Vikingatid Pr4,793,1066
Vikingatida 1000-talet (sekel)|kring år 1000,990,1010
1000-talet (sekel)|1000-talets andra hälft,1050,1099
1000-talet (sekel)|1000-talet e.Kr.,1000,1099
1100-talet,1100,1199
1000-talet (sekel)|1000-talets senare hälft,1050,1099
1000-talet (sekel)|1000-talet,1000,1099
Vikingatid|1000-talets senare hälft,1050,1099
1000-talet (sekel)|1000-talet e.Kr. (1020-1080),1020,1080
Vikingatiden: Vikingatid,793,1066
1050-talet,1050,1059
"Vikingatida|V, 1000-talet (sekel)|1000-talet e.Kr.",1000,1066
1100-talet (sekel)|1100-talet e.Kr.,1100,1199
"Vikingatid, cirka 1100",1050,1150
"Medeltiden|Medeltid<ref name=""rtdb""/>",1066,1500
"1000-talet<ref name=""tavla""/>",1000,1099
1100-talet<ref name=sri1/>,1100,1199
Medeltid<ref name=rtdb/>,1066,1500
1000-talet|1000-talet e.Kr.,1000,1099
500 f. Kr.  – 1050 e Kr.,793,1066
Början av 1100-talet<ref name=rtdb/>,1100,1125
1000-talet (sekel)|1000-talet e.Kr.-1100-talet (sekel)|1100-talet e.Kr.,1000,1099
"Vikingatid, början av 1100-talet<ref name=rtdb/>",1100,1125
"Vikingatiden, början av 1000-talet<ref name=rtdb/>",1000,1025
"Vikingatida|V, 1000-talet (sekel)|1000-talets mitt",1035,1065
1100-talets början<ref name=sri1/>,1100,1125
"Medeltid, mellan åren 1100-1150<ref name=rtdb/>",1100,1150
1000-talets andra hälft,1050,1099
Vikingatid (ca 1010-1050),1010,1050
1010 - 1050 efter Kristus,1010,1050
"Vikingatid, mitten av 1000-talet",1035,1065
Vikingatid (1010-1050 e.Kr.)<ref name=rtdb/>,1010,1050
Vikingatid: 1010-1050 e.Kr.,1010,1050
Vikingatid (mellan 1010–1050)<ref name=rtdb/>,1010,1050
Medeltiden cirka 1200,1190,1210
Vikingatiden|V (mitten 1000-talet),1035,1065
Vikingatida: 1000-talet (sekel)|1000-talet e.Kr.,1000,1066
Senast mitten av 1000-talet,1020,1050
"1000-talet e.Kr.<ref name=""tavla"">Informationstavla på platsen, rest av Riksantikvarieämbetet och Länsstyrelsen.</ref>",1000,1099
Vikingatida|V 1000-talet (sekel)|1000-talet e.Kr.,1000,1099
Vikingatida|Vikingatid,793,1066
Vikingatida|V: 1000-talet (sekel)|1000-talet e.Kr.,1000,1066
Vikingatida|V mitten av 1000-talet (sekel)|1000-talet e.Kr.,1035,1065
vikingatiden,793,1066
Vikingatida|V början av 1000-t,1000,1025
Vikingatiden|Vikingatida,793,1166
1000-talet (sekel),1000,1099
"Vikingatiden, mitten av 1000-talet<ref name=rtdb/>",1035,1065
"Vikingatid, (1020-1050)",1020,1050
"V 775/800-900<ref>{{Bokref|titel=Runer og rundindskrifter : kronologi, kontekst og funktion i Skandinaviens jernalder og vikingetid|url=http://worldcat.org/oclc/1153112597|utgivare=Det Humanistiske Fakultet, Københavns Universitet|datum=2007|hämtdatum=2022-04-29|oclc=1153112597|förnamn=Imer, Lisbeth|efternamn=Mogensen.}}</ref>",775,900
Vikingatiden mitten av 1000-t,1035,1065
V s 1000-t,1000,1099
"Vikingatida|V, ca 1100",1080,1120
"350–500 e.Kr, eller 600-talet|600-talet e.Kr.",350,699
omkr. 800 samt 1000-talet,800,1099
980-1015 e.Kr.,980,1015
Medeltida|M 1200-t,1200,1299
Vikingatida|V<ref name=rtdb/>,793,1066
"Vikingatida|V<ref name=rtdb/>, 1010-1050 e.kr",1010,1050
U 160-520/530 (Imer 2007),160,530
Medeltiden|M ca 1100,1075,1125
M s 1100-t,1075,1125
V ca 1100,1075,1125
M ca 1200,1175,1225
Tidigt 1000-tal,1000,1025
"Medeltiden|M, 1100-talet<ref name=rtdb/>",1100,1199
M b 1200-t,1100,1199
375-570<ref name=rtdb/>,375,570
M m 1300-t,1325,1375
M 1250-1300,1250,1300
M 1100-1175,1100,1175
Vikingatida: V,793,1066
Vikingatiden|V,793,1066
Urnordiska|U 375/400-560/570 (Imer 2007),375,570
"725–1100<ref name=""ref_2"">{{webbref |url=https://app.raa.se/open/runor/inscriptionid=ae907407-ba3b-4790-9406-c492daaa473c |titel=Sö 26 |hämtdatum=7 september 2023 |format= | verk =  |utgivare=Riksantikvarieämbetet| språk = svenska }}</ref>",725,1100
500-talet (sekel)|500-talet och 1000-talet,500,1000
Vikingatida: 1000-talet,1000,1066
"1000-talet (sekel)|1000-talet e.Kr.<ref name=""ReferenceA"">Informationsskylt vid Sö 54 (Riksantikvarieämbetet) (2009-09-16)</ref>",1000,1099
"Vikingatid, Stilgruppering: Pr4",1070,1100
"Vikingatid, någon gång mellan 1010–1050<ref name=rtdb/>",1010,1050
"Cirka 500 f. Kr.–1050 e. Kr.<ref name=""fmis""/>",500,1050
Vikingatid: 1000-talets andra hälft,1050,1066
Vikingatid: 1000-talets mitt,1030,1066
1000-talet e.kr.,1000,1099
Ca 1000-talet e.Kr.,1000,1099
Cirka 1000-talet e.Kr.,1000,1099
Vikingatid: 1020-1050,1020,1050
1010 - 1050 e.Kr.,1010,1050
"1010–1050<ref name=""ref_1"">{{webbref |url=http://www.runinskrifter.net/signum/S%C3%B6/333 |titel=Sö 333 |hämtdatum=5 december 2016 |format= |verk= |utgivare=Runinskrifter.net |språk=svenska |arkivurl=https://web.archive.org/web/20210307115953/https://www.runinskrifter.net/signum/S%C3%B6/333 |arkivdatum=7 mars 2021 }}</ref>",1010,1050
"Vikingatiden, 1000-talet e.Kr.",1000,1100
"Vikingatid<ref name=""ReferenceA"">Samnordisk runtextdatabas, Rundata (2008-03-01)</ref> (sannolikt 1000-talet (sekel)|1000-talet e.Kr.)",1000,1100
1050-1080,1050,1080
Vikingatid: 1010-1050,1010,1050
"Vikingatid, runt år 1100<ref name=fv/>",1080,1120
