Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitute,Langitute
SE Fv1988;247  ,?,?,"?, Sverige",?,SHM (10683),,,,?,,,sten,mörk grönsten,skafthålsyxa,,
"SE IK365,1 U ",?,?,"?, Sverige",?,Museum Gustavianum (UUMF2302),,,,U,,,metall,guld,brakteat (C-typ),,
"SE IK365,7 U ",?,?,"?, Sverige",?,Museum Gustavianum (UUMF2303),,,,U,,,metall,guld,brakteat (C-typ),,
SE Owe1996b;136  ,?,?,"?, Sverige",?,"Runverket, Raä, Stockholm",,,,V,,,sten,,fragment av runsten,,
SE SHMFid45487  ,?,?,"?, Sverige",?,SHM,,,,V?,,,sten,,fragment av runlös sten,,
DR 1  ,"Haddeby 1, Wedelspang",Selk,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Selk,Museum vorgesch. Altertümer i Kiel,,,,V efter-Jelling,RAK,,sten,röd granit,runsten,,
DR 2  ,"Haddeby 2 (Vedelspang 1), Wedelspang",Selk,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Selk,Museum vorgesch. Altertümer i Kiel,,,,"V Jelling, efter år 934",RAK,,sten,granit,runsten,,
DR 3  ,"Haddeby 3 (Dannevirke/Busdorf), Busdorf",Busdorf,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Busdorf,,,,,V efter-Jelling,RAK,,sten,granit,runsten,,
DR 4  ,"Haddeby 4, Schloss Gottorf",Stadt Schleswig,"Stadt Schleswig (Schleswig-Holstein, Sydslesvig)",Schleswig,Museum vorgesch. Altertümer i Kiel,,,,"V Jelling, efter år 934",RAK,,sten,granit,runsten,,
DR 5 †M ,Slesvig,Stadt Schleswig,"Stadt Schleswig (Schleswig-Holstein, Sydslesvig)",Schleswig,,,,,M,,,metall,järn,dörr med beslag,,
DR 6  ,Slesvig,Stadt Schleswig,"Stadt Schleswig (Schleswig-Holstein, Sydslesvig)",Schleswig,Slesvigs domkyrka,,,,V kristen efter-Jelling,?,,sten,kalksten,runsten,,
DR 7 $U ,"Torsbjerg, Thorsberg",Süderbrarup,"Amt Süderbrarup, Angeln, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Süderbrarup,Flensburg Stadtmuseum (5767),,,,U 210/220-250/260 (Imer 2007),,,metall,brons,doppsko,,
DR 8 $U ,"Torsbjerg, Thorsberg",Süderbrarup,"Amt Süderbrarup, Angeln, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Süderbrarup,Flensburg Stadtmuseum (3262),,,,U 210/220-250/260 (Imer 2007),,,metall,brons,sköldbuckla,,
DR 9 † ,Nørre Brarup (Arrild),Norderbrarup,"Amt Süderbrarup, Angeln, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Norderbrarup,,,,,V Helnæs-Gørlev,,,sten,granit,runsten,,
DR 10 U? ,Frøslev,Bov sn ,"Lundtoft hd, Sønderjylland",Aabenraa,Museum vorgesch. Altertümer i Kiel (F. S. 6976),,,,U? osäker datering,,,trä,trä,pinne,,
DR 11 †U ,Gallehus,Møgeltønder sn,"Lø hd, Sønderjylland",Tønder,,(54.9586733355867; 8.81251799844678),,,U 400-450,,,metall,guld,horn,54.95867334,8.812517998
DR 12 †U ,Gallehus,Møgeltønder sn,"Lø hd, Sønderjylland",Tønder,,(54.9586733355867; 8.81251799844678),,,U 375/400-460/470 (Imer 2007),,,metall,guld,horn,54.95867334,8.812517998
DR 13 †U ,"Nydam, Nydam engmose",Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Museum vorgesch. Altertümer i Kiel,(54.9603868861657 ; 9.72682690129138),,,U 310/320-375/400 (Imer 2007),,,trä,trä,pil,54.96038689,9.726826901
DR 14 M ,Bjolderup,Bjolderup sn,"Rise hd, Sønderjylland",Aabenraa,Museum vorgesch. Altertümer i Kiel,(54.9603868861657 ; 9.72682690129138),,,M ca 1200,,,sten,granit,runsten,54.96038689,9.726826901
DR 15  ,Øster Løgum,Øster Løgum sn,"Sønder Rangstrup hd, Sønderjylland",Aabenraa,3 km söder Immervads bro.,(55.1402239992017 ; 9.34452011770081),,,V för-Jelling,RAK,,sten,granit,runsten,55.140224,9.344520118
DR 16 M ,Hoptrup,Hoptrups sn,"Haderslevs hd, Sønderjylland",Haderslev,Hoptrups kyrka,,,,M ca 1175-1200,,,sten,granit,dopfunt,,
DR 17  ,Starup,Starup sn,"Haderslevs hd, Sønderjylland",Haderslev,söder om kyrkan,(55.248181897322 ; 9.53267135692406),,,V Helnæs-Gørlev,RAK,,sten,granit,runsten,55.2481819,9.532671357
DR 18 U ,Strårup,Dalby sn,"Tyrstrup hd, Sønderjylland",Kolding,Nationalmuseet (8563),(55.4757589697331 ; 9.52473938150322),,,U 160-375/400 (Imer 2007),,,metall,guld,halsring,55.47575897,9.524739382
DR 19 M ,Darum,Darum sn,"Gørding hd, Nørrejylland",Esbjerg,Nationalmuseet (D7874),(55.4757589697331 ; 9.52473938150322),,,M,,,sten,granit,vigvattenkar,55.47575897,9.524739382
DR 20 M ,Gørding,Gørding sn,"Gørding hd, Nørrejylland",Esbjerg,Nationalmuseet (D2572),(55.4757589697331 ; 9.52473938150322),,,M 1200-t,,,metall,silver,ring,55.47575897,9.524739382
