Period,Period_begin,Period_end
 Vikingatid,793,1066
" Vikingatid, före år 1000",793,999
 Vikingatid: V ,793,1066
" Vikingatida|V, 1000-talet (sekel)|1000-talet ",1000,1066
 Vikingatida|V ,793,1066
Vikingatid    ,793,1066
 1000-talet e.Kr. ,793,1066
 V b 1100-t,793,1099
 Vikingatida:V ,793,1066
,0,1500
 Vikingatid ,793,1066
 Vikingatid|V,793,1066
  ,0,1500
 Vikingatiden,793,1066
,0,1500
,0,1500
 Vikingatid: V  ,793,1066
 Medeltid,1066,1500
 1000-talet  ,1000,1099
 Vikingatida ,793,1066
Vikingatiden  ,793,1066
,0,1500
Vikingatid: V,793,1066
"Vikingatida|V, 1000-talet (sekel)|1000-talet",1000,1066
Vikingatida|V,793,1066
Vikingatid,793,1066
1000-talet e.Kr.,1000,1099
V b 1100-t,793,1099
Vikingatida:V,793,1066
 ,0,1500
Vikingatid|V,793,1066
"Vikingatid, före år 1000",793,999
Vikingatiden,793,1066
Medeltid,1067,1500
1000-talet,1000,1099
Vikingatida,793,1066
Vikingatida|V 1000-talet,1000,1066
"Vikingatida|V, 1060-1100 e Kr<ref name=lansmuseum/>",1060,1100
Vikingatid|sent 1000-tal (Pr4),1080,1099
V,793,1066
Vikingatid Pr4,793,1066
Vikingatida 1000-talet (sekel)|kring år 1000,990,1010
1000-talet (sekel)|1000-talets andra hälft,1050,1099
1000-talet (sekel)|1000-talet e.Kr.,1000,1099
1100-talet,1100,1199
1000-talet (sekel)|1000-talets senare hälft,1050,1099
1000-talet (sekel)|1000-talet,1000,1099
Vikingatid|1000-talets senare hälft,1050,1099
1000-talet (sekel)|1000-talet e.Kr. (1020-1080),1020,1080
Vikingatiden: Vikingatid,793,1066
1050-talet,1050,1059
