Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude,Longtitute
Öl 1 $ ,Karlevi,Vickleby sn,Algutsrums hd,Mörbylånga,,6275755.154,,,V s 900-t,RAK,,sten,smålandsporfyr,runsten,56.57557208,16.3833
Öl 2 †$ ,Algutsrums kyrka,Algutsrums sn,Algutsrums hd,Mörbylånga,,6283750.154,,,V,Pr3,,sten,,runsten,56.64731403,16.3833
Öl 3 †$ ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,,6268390.154,,,V efter 1050,Pr3 - Pr4?,,sten,,fragment av runsten,56.50963333,16.3833
Öl 4 $ ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,Kalmar läns museum (KLM 24962),6268390.154,,,V efter 1050,Pr4,,sten,grå kalksten,runsten,56.50968495,16.3833
Öl 5 † ,Bårby,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6264000.154,,,V,Pr3,,sten,,runsten,56.47037049,16.3833
Öl 6 $ ,Mörbylånga kyrkogård,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265940.154,,,V,Pr4,,sten,grå kalksten,runsten,56.48781846,16.3833
Öl 7 †$ ,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265940.154,,,V,Pr3,,sten,,runsten,56.48786996,16.3833
Öl 8 †M ,Mörbylånga kyrkogård,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265940.154,,,M s 1100-t,,,sten,,gravhäll,56.48792143,16.3833
Öl 9 † ,Kastlösa kyrka,Kastlösa sn,Gräsgårds hd,Mörbylånga,,6259160.154,,,V,Pr2 - Pr3?,,sten,,runsten,56.4271742,16.3833
Öl 10 †$ ,Alvlösa,Smedby sn,Gräsgårds hd,Mörbylånga,,6255100.154,,,V,Pr2 - Pr3?,,sten,,runsten,56.3908175,16.3833
Öl 11 $ ,Alvlösa,Smedby sn,Gräsgårds hd,Mörbylånga,,6254924.154,,,V,?,,sten,grå kalksten,fragment av runsten,56.38929042,16.3833
Öl 12 †$ ,Smedby kyrkogård,Smedby sn,Gräsgårds hd,Mörbylånga,,6253443.154,,,V,Pr2 - Pr3?,,sten,,runsten,56.3760606,16.3833
Öl 13 †$ ,Södra Möckleby,Södra Möckleby sn,Gräsgårds hd,Mörbylånga,,6247821.154,,,V,RAK,,sten,,runsten,56.32569546,16.3833
Öl 14 †$ ,Södra Möckleby kyrkogård,Södra Möckleby sn,Gräsgårds hd,Mörbylånga,,6247800.154,,,V,?,,sten,ljusgrå kalksten,fragment av runsten,56.32555813,16.3833
Öl 15 †$ ,Södra Möckleby kyrkogård,Södra Möckleby sn,Gräsgårds hd,Mörbylånga,,6247800.154,,,V,RAK,,sten,,runsten,56.32560911,16.3833
Öl 16 † ,Gräsgårds kyrkogård,Gräsgårds sn,Gräsgårds hd,Mörbylånga,,6242620.154,,,V,Pr2,,sten,,runsten,56.27920664,16.3833
Öl 17 † ,Seby,Segerstads sn,Gräsgårds hd,Mörbylånga,,6247000.155,,,V,RAK,,sten,,runsten,56.31853674,16.3833
Öl 18 $ ,Seby,Segerstads sn,Gräsgårds hd,Mörbylånga,,6246416.154,,,V,Pr2 - Pr3?,,sten,grå ortocerkalksten,runsten,56.3133504,16.3833
Öl 19 † ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,,6258229.155,,,V,Pr4,,sten,,runsten,56.41933721,16.3833
Öl 20 † ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,,6258229.155,,,V,?,,sten,,runsten,56.41938823,16.3833
